"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Обновление данных упражнения","LMS service","Sat Dec 13 05:00:13 UTC 2025","passed","Sat Dec 13 05:00:13 UTC 2025","Update entity","Exercises","",""
"","38","Создание нового курса","LMS service","Sat Dec 13 05:00:13 UTC 2025","passed","Sat Dec 13 05:00:13 UTC 2025","Create entity","Courses","",""
"","33","Получение данных упражнения","LMS service","Sat Dec 13 05:00:15 UTC 2025","passed","Sat Dec 13 05:00:15 UTC 2025","Get entity","Exercises","",""
"","30","Получение списка упражнений курса","LMS service","Sat Dec 13 05:00:15 UTC 2025","passed","Sat Dec 13 05:00:15 UTC 2025","Get entities","Exercises","",""
"","41","Получение списка курсов","LMS service","Sat Dec 13 05:00:15 UTC 2025","passed","Sat Dec 13 05:00:16 UTC 2025","Get entity","Courses","",""
"","819","Создание файла","LMS service","Sat Dec 13 05:00:17 UTC 2025","passed","Sat Dec 13 05:00:18 UTC 2025","Create entity","Files","",""
"","553","Создание файла без указания имени","LMS service","Sat Dec 13 05:00:17 UTC 2025","passed","Sat Dec 13 05:00:18 UTC 2025","Create entity","Files","",""
"","287","Email пользователя: example.com","LMS service","Sat Dec 13 05:00:20 UTC 2025","passed","Sat Dec 13 05:00:20 UTC 2025","Create entity","Users","",""
"","41","Создание нового упражнения","LMS service","Sat Dec 13 05:00:13 UTC 2025","passed","Sat Dec 13 05:00:13 UTC 2025","Create entity","Exercises","",""
"","539","Создание файла без указания директории","LMS service","Sat Dec 13 05:00:19 UTC 2025","passed","Sat Dec 13 05:00:20 UTC 2025","Create entity","Files","",""
"","66","Обновление данных курса","LMS service","Sat Dec 13 05:00:13 UTC 2025","passed","Sat Dec 13 05:00:13 UTC 2025","Update entity","Courses","",""
"","754","Email пользователя: mail.ru","LMS service","Sat Dec 13 05:00:19 UTC 2025","passed","Sat Dec 13 05:00:20 UTC 2025","Create entity","Users","",""
"","287","Логин существующего пользователя","LMS service","Sat Dec 13 05:00:11 UTC 2025","passed","Sat Dec 13 05:00:12 UTC 2025","Login","Authentication","",""
"","39","Удаление упражнения","LMS service","Sat Dec 13 05:00:15 UTC 2025","passed","Sat Dec 13 05:00:16 UTC 2025","Delete entity","Exercises","",""
"","798","Email пользователя: gmail.com","LMS service","Sat Dec 13 05:00:18 UTC 2025","passed","Sat Dec 13 05:00:19 UTC 2025","Create entity","Users","",""
"","26","Получение данных файла","LMS service","Sat Dec 13 05:00:18 UTC 2025","passed","Sat Dec 13 05:00:18 UTC 2025","Get entity","Files","",""
"","22","Получение файла с некорректным id","LMS service","Sat Dec 13 05:00:20 UTC 2025","passed","Sat Dec 13 05:00:20 UTC 2025","Get entity","Files","",""
"","14","Получение данных текущего пользователя","LMS service","Sat Dec 13 05:00:20 UTC 2025","passed","Sat Dec 13 05:00:20 UTC 2025","Get entity","Users","",""
"","860","Удаление файла","LMS service","Sat Dec 13 05:00:18 UTC 2025","passed","Sat Dec 13 05:00:19 UTC 2025","Delete entity","Files","",""
