"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Создание файла без указания имени","LMS service","Wed Dec 17 01:51:28 UTC 2025","passed","Wed Dec 17 01:51:28 UTC 2025","Create entity","Files","",""
"","1332","Email пользователя: example.com","LMS service","Wed Dec 17 01:51:29 UTC 2025","passed","Wed Dec 17 01:51:30 UTC 2025","Create entity","Users","",""
"","839","Создание файла","LMS service","Wed Dec 17 01:51:27 UTC 2025","passed","Wed Dec 17 01:51:28 UTC 2025","Create entity","Files","",""
"","48","Получение списка курсов","LMS service","Wed Dec 17 01:51:26 UTC 2025","passed","Wed Dec 17 01:51:26 UTC 2025","Get entity","Courses","",""
"","59","Обновление данных курса","LMS service","Wed Dec 17 01:51:23 UTC 2025","passed","Wed Dec 17 01:51:23 UTC 2025","Update entity","Courses","",""
"","26","Удаление файла","LMS service","Wed Dec 17 01:51:28 UTC 2025","passed","Wed Dec 17 01:51:28 UTC 2025","Delete entity","Files","",""
"","289","Создание файла без указания директории","LMS service","Wed Dec 17 01:51:30 UTC 2025","passed","Wed Dec 17 01:51:30 UTC 2025","Create entity","Files","",""
"","1887","Email пользователя: mail.ru","LMS service","Wed Dec 17 01:51:28 UTC 2025","passed","Wed Dec 17 01:51:30 UTC 2025","Create entity","Users","",""
"","303","Email пользователя: gmail.com","LMS service","Wed Dec 17 01:51:28 UTC 2025","passed","Wed Dec 17 01:51:28 UTC 2025","Create entity","Users","",""
"","42","Обновление данных упражнения","LMS service","Wed Dec 17 01:51:23 UTC 2025","passed","Wed Dec 17 01:51:23 UTC 2025","Update entity","Exercises","",""
"","310","Создание нового упражнения","LMS service","Wed Dec 17 01:51:23 UTC 2025","passed","Wed Dec 17 01:51:23 UTC 2025","Create entity","Exercises","",""
"","19","Получение данных файла","LMS service","Wed Dec 17 01:51:28 UTC 2025","passed","Wed Dec 17 01:51:28 UTC 2025","Get entity","Files","",""
"","12","Получение данных текущего пользователя","LMS service","Wed Dec 17 01:51:31 UTC 2025","passed","Wed Dec 17 01:51:31 UTC 2025","Get entity","Users","",""
"","32","Получение файла с некорректным id","LMS service","Wed Dec 17 01:51:30 UTC 2025","passed","Wed Dec 17 01:51:30 UTC 2025","Get entity","Files","",""
"","27","Удаление упражнения","LMS service","Wed Dec 17 01:51:26 UTC 2025","passed","Wed Dec 17 01:51:26 UTC 2025","Delete entity","Exercises","",""
"","826","Логин существующего пользователя","LMS service","Wed Dec 17 01:51:22 UTC 2025","passed","Wed Dec 17 01:51:22 UTC 2025","Login","Authentication","",""
"","37","Получение данных упражнения","LMS service","Wed Dec 17 01:51:26 UTC 2025","passed","Wed Dec 17 01:51:26 UTC 2025","Get entity","Exercises","",""
"","41","Создание нового курса","LMS service","Wed Dec 17 01:51:23 UTC 2025","passed","Wed Dec 17 01:51:23 UTC 2025","Create entity","Courses","",""
"","36","Получение списка упражнений курса","LMS service","Wed Dec 17 01:51:26 UTC 2025","passed","Wed Dec 17 01:51:26 UTC 2025","Get entities","Exercises","",""
